Episode 0, Reward: 32.0
Episode 174, Reward: 12.0
Episode 175, Reward: 12.0
Episode 176, Reward: 13.0
Episode 177, Reward: 34.0
Episode 178, Reward: 28.0
Episode 179, Reward: 63.0
Episode 180, Reward: 42.0
Episode 181, Reward: 14.0
Episode 182, Reward: 37.0
Episode 183, Reward: 25.0
Episode 184, Reward: 103.0
Episode 185, Reward: 16.0
Episode 186, Reward: 10.0
Episode 187, Reward: 23.0
Episode 188, Reward: 17.0
Episode 189, Reward: 21.0
Episode 190, Reward: 17.0
Episode 191, Reward: 12.0
Episode 192, Reward: 9.0
Episode 193, Reward: 13.0
Episode 194, Reward: 54.0
Episode 195, Reward: 19.0
Episode 196, Reward: 12.0
Episode 197, Reward: 25.0
Episode 198, Reward: 16.0
Episode 199, Reward: 15.0
Episode 200, Reward: 15.0
Episode 201, Reward: 26.0
Episode 202, Reward: 15.0
Episode 203, Reward: 18.0
Episode 204, Reward: 13.0
Episode 205, Reward: 19.0
Episode 206, Reward: 16.0
Episode 207, Reward: 10.0
Episode 208, Reward: 22.0
Episode 209, Reward: 25.0
Episode 210, Reward: 10.0
Episode 211, Reward: 68.0
Episode 212, Reward: 12.0
Episode 213, Reward: 12.0
Episode 214, Reward: 13.0
Episode 215, Reward: 28.0
Episode 216, Reward: 40.0
Episode 217, Reward: 19.0
Episode 218, Reward: 18.0
Episode 219, Reward: 12.0
Episode 220, Reward: 38.0
Episode 221, Reward: 36.0
Episode 222, Reward: 23.0
Episode 223, Reward: 21.0
Episode 224, Reward: 15.0
Episode 225, Reward: 11.0
Episode 226, Reward: 10.0
Episode 227, Reward: 20.0
Episode 228, Reward: 15.0
Episode 229, Reward: 27.0
Episode 230, Reward: 13.0
Episode 231, Reward: 23.0
Episode 232, Reward: 16.0
Episode 233, Reward: 20.0
Episode 234, Reward: 50.0
Episode 235, Reward: 32.0
Episode 236, Reward: 11.0
Episode 237, Reward: 21.0
Episode 238, Reward: 31.0
Episode 239, Reward: 22.0
Episode 240, Reward: 10.0
Episode 241, Reward: 22.0
Episode 242, Reward: 21.0
Episode 243, Reward: 11.0
Episode 244, Reward: 18.0
Episode 245, Reward: 23.0
Episode 246, Reward: 47.0
Episode 247, Reward: 26.0
Episode 248, Reward: 20.0
Episode 249, Reward: 17.0
Episode 250, Reward: 15.0
Episode 251, Reward: 43.0
Episode 252, Reward: 9.0
Episode 253, Reward: 30.0
Episode 254, Reward: 16.0
Episode 255, Reward: 22.0
Episode 256, Reward: 17.0
Episode 257, Reward: 19.0
Episode 258, Reward: 22.0
Episode 259, Reward: 10.0
Episode 260, Reward: 10.0
Episode 261, Reward: 24.0
Episode 262, Reward: 23.0
Episode 263, Reward: 22.0
Episode 264, Reward: 17.0
Episode 265, Reward: 19.0
Episode 266, Reward: 33.0
Episode 267, Reward: 23.0
Episode 268, Reward: 46.0
Episode 269, Reward: 31.0
Episode 270, Reward: 9.0
Episode 271, Reward: 48.0
Episode 272, Reward: 17.0
Episode 273, Reward: 18.0
Episode 274, Reward: 23.0
Episode 275, Reward: 24.0
Episode 276, Reward: 37.0
Episode 277, Reward: 28.0
Episode 278, Reward: 12.0
Episode 279, Reward: 31.0
Episode 280, Reward: 22.0
Episode 281, Reward: 16.0
Episode 282, Reward: 17.0
Episode 283, Reward: 15.0
Episode 284, Reward: 13.0
Episode 285, Reward: 13.0
Episode 286, Reward: 23.0
Episode 287, Reward: 17.0
Episode 288, Reward: 26.0
Episode 289, Reward: 54.0
Episode 290, Reward: 17.0
Episode 291, Reward: 24.0
Episode 292, Reward: 24.0
Episode 293, Reward: 29.0
Episode 294, Reward: 22.0
Episode 295, Reward: 10.0
Episode 296, Reward: 29.0
Episode 297, Reward: 15.0
Episode 298, Reward: 16.0
Episode 299, Reward: 18.0
Episode 300, Reward: 11.0
Episode 301, Reward: 17.0
Episode 302, Reward: 27.0
Episode 303, Reward: 20.0
Episode 304, Reward: 26.0
Episode 305, Reward: 63.0
Episode 306, Reward: 18.0
Episode 307, Reward: 15.0
Episode 308, Reward: 11.0
Episode 309, Reward: 16.0
Episode 310, Reward: 11.0
Episode 311, Reward: 35.0
Episode 312, Reward: 13.0
Episode 313, Reward: 43.0
Episode 314, Reward: 21.0
Episode 315, Reward: 70.0
Episode 316, Reward: 34.0
Episode 317, Reward: 14.0
Episode 318, Reward: 19.0
Episode 319, Reward: 16.0
Episode 320, Reward: 29.0
Episode 321, Reward: 18.0
Episode 322, Reward: 33.0
Episode 323, Reward: 17.0
Episode 324, Reward: 11.0
Episode 325, Reward: 26.0
Episode 326, Reward: 8.0
Episode 327, Reward: 29.0
Episode 328, Reward: 39.0
Episode 329, Reward: 19.0
Episode 330, Reward: 27.0
Episode 331, Reward: 23.0
Episode 332, Reward: 9.0
Episode 333, Reward: 14.0
Episode 334, Reward: 18.0
Episode 335, Reward: 59.0
Episode 336, Reward: 12.0
Episode 337, Reward: 26.0
Episode 338, Reward: 22.0
Episode 339, Reward: 14.0
Episode 340, Reward: 16.0
Episode 341, Reward: 30.0
Episode 342, Reward: 26.0
Episode 343, Reward: 15.0
Episode 344, Reward: 21.0
Episode 345, Reward: 46.0
Episode 346, Reward: 36.0
Episode 347, Reward: 31.0
Episode 348, Reward: 40.0
Episode 349, Reward: 12.0
Episode 350, Reward: 11.0
Episode 351, Reward: 32.0
Episode 352, Reward: 39.0
Episode 353, Reward: 12.0
Episode 354, Reward: 49.0
Episode 355, Reward: 22.0
Episode 356, Reward: 13.0
Episode 357, Reward: 25.0
Episode 358, Reward: 36.0
Episode 359, Reward: 13.0
Episode 360, Reward: 22.0
Episode 361, Reward: 14.0
Episode 362, Reward: 33.0
Episode 363, Reward: 17.0
Episode 364, Reward: 10.0
Episode 365, Reward: 40.0
Episode 366, Reward: 23.0
Episode 367, Reward: 34.0
Episode 368, Reward: 13.0
Episode 369, Reward: 14.0
Episode 370, Reward: 27.0
Episode 371, Reward: 28.0
Episode 372, Reward: 13.0
Episode 373, Reward: 14.0
Episode 374, Reward: 13.0
Episode 375, Reward: 14.0
Episode 376, Reward: 34.0
Episode 377, Reward: 23.0
Episode 378, Reward: 24.0
Episode 379, Reward: 43.0
Episode 380, Reward: 11.0
Episode 381, Reward: 12.0
Episode 382, Reward: 29.0
Episode 383, Reward: 30.0
Episode 384, Reward: 9.0
Episode 385, Reward: 24.0
Episode 386, Reward: 11.0
Episode 387, Reward: 31.0
Episode 388, Reward: 33.0
Episode 389, Reward: 33.0
Episode 390, Reward: 47.0
Episode 391, Reward: 16.0
Episode 392, Reward: 31.0
Episode 393, Reward: 38.0
Episode 394, Reward: 34.0
Episode 395, Reward: 13.0
Episode 396, Reward: 14.0
Episode 397, Reward: 15.0
Episode 398, Reward: 13.0
Episode 399, Reward: 30.0
Episode 400, Reward: 12.0
Episode 401, Reward: 20.0
Episode 402, Reward: 16.0
Episode 403, Reward: 30.0
Episode 404, Reward: 49.0
Episode 405, Reward: 26.0
Episode 406, Reward: 11.0
Episode 407, Reward: 29.0
Episode 408, Reward: 11.0
Episode 409, Reward: 19.0
Episode 410, Reward: 16.0
Episode 411, Reward: 44.0
Episode 412, Reward: 31.0
Episode 413, Reward: 33.0
Episode 414, Reward: 30.0
Episode 415, Reward: 13.0
Episode 416, Reward: 30.0
Episode 417, Reward: 31.0
Episode 418, Reward: 35.0
Episode 419, Reward: 13.0
Episode 420, Reward: 16.0
Episode 421, Reward: 19.0
Episode 422, Reward: 10.0
Episode 423, Reward: 27.0
Episode 424, Reward: 30.0
Episode 425, Reward: 11.0
Episode 426, Reward: 30.0
Episode 427, Reward: 33.0
Episode 428, Reward: 24.0
Episode 429, Reward: 12.0
Episode 430, Reward: 17.0
Episode 431, Reward: 25.0
Episode 432, Reward: 13.0
Episode 433, Reward: 20.0
Episode 434, Reward: 16.0
Episode 435, Reward: 31.0
Episode 436, Reward: 25.0
Episode 437, Reward: 54.0
Episode 438, Reward: 16.0
Episode 439, Reward: 20.0
Episode 440, Reward: 47.0
Episode 441, Reward: 14.0
Episode 442, Reward: 19.0
Episode 443, Reward: 37.0
Episode 444, Reward: 33.0
Episode 445, Reward: 16.0
Episode 446, Reward: 17.0
Episode 447, Reward: 68.0
Episode 448, Reward: 21.0
Episode 449, Reward: 11.0
Episode 450, Reward: 44.0
Episode 451, Reward: 14.0
Episode 452, Reward: 23.0
Episode 453, Reward: 31.0
Episode 454, Reward: 17.0
Episode 455, Reward: 15.0
Episode 456, Reward: 21.0
Episode 457, Reward: 37.0
Episode 458, Reward: 15.0
Episode 459, Reward: 18.0
Episode 460, Reward: 22.0
Episode 461, Reward: 31.0
Episode 462, Reward: 17.0
Episode 463, Reward: 18.0
Episode 464, Reward: 34.0
Episode 465, Reward: 34.0
Episode 466, Reward: 12.0
Episode 467, Reward: 25.0
Episode 468, Reward: 34.0
Episode 469, Reward: 21.0
Episode 470, Reward: 22.0
Episode 471, Reward: 25.0
Episode 472, Reward: 10.0
Episode 473, Reward: 20.0
Episode 474, Reward: 19.0
Episode 475, Reward: 26.0
Episode 476, Reward: 34.0
Episode 477, Reward: 56.0
Episode 478, Reward: 9.0
Episode 479, Reward: 12.0
Episode 480, Reward: 33.0
Episode 481, Reward: 20.0
Episode 482, Reward: 38.0
Episode 483, Reward: 14.0
Episode 484, Reward: 22.0
Episode 485, Reward: 13.0
Episode 486, Reward: 32.0
Episode 487, Reward: 29.0
Episode 488, Reward: 11.0
Episode 489, Reward: 16.0
Episode 490, Reward: 20.0
Episode 491, Reward: 9.0
Episode 492, Reward: 48.0
Episode 493, Reward: 56.0
Episode 494, Reward: 26.0
Episode 495, Reward: 11.0
Episode 496, Reward: 11.0
Episode 497, Reward: 14.0
Episode 498, Reward: 21.0
Episode 499, Reward: 21.0
Episode 500, Reward: 18.0
Episode 501, Reward: 20.0
Episode 502, Reward: 35.0
Episode 503, Reward: 38.0
Episode 504, Reward: 13.0
Episode 505, Reward: 19.0
Episode 506, Reward: 11.0
Episode 507, Reward: 16.0
Episode 508, Reward: 24.0
Episode 509, Reward: 14.0
Episode 510, Reward: 16.0
Episode 511, Reward: 19.0
Episode 512, Reward: 50.0
Episode 513, Reward: 13.0
Episode 514, Reward: 15.0
Episode 515, Reward: 21.0
Episode 516, Reward: 14.0
Episode 517, Reward: 44.0
Episode 518, Reward: 26.0
Episode 519, Reward: 32.0
Episode 520, Reward: 18.0
Episode 521, Reward: 57.0
Episode 522, Reward: 36.0
Episode 523, Reward: 19.0
Episode 524, Reward: 20.0
Episode 525, Reward: 83.0
Episode 526, Reward: 23.0
Episode 527, Reward: 11.0
Episode 528, Reward: 31.0
Episode 529, Reward: 35.0
Episode 530, Reward: 24.0
Episode 531, Reward: 40.0
Episode 532, Reward: 20.0
Episode 533, Reward: 25.0
Episode 534, Reward: 30.0
Episode 535, Reward: 12.0
Episode 536, Reward: 17.0
Episode 537, Reward: 12.0
Episode 538, Reward: 18.0
Episode 539, Reward: 34.0
Episode 540, Reward: 11.0
Episode 541, Reward: 13.0
Episode 542, Reward: 31.0
Episode 543, Reward: 11.0
Episode 544, Reward: 15.0
Episode 545, Reward: 19.0
Episode 546, Reward: 32.0
Episode 547, Reward: 20.0
Episode 548, Reward: 15.0
Episode 549, Reward: 14.0
Episode 550, Reward: 40.0
Episode 551, Reward: 28.0
Episode 552, Reward: 35.0
Episode 553, Reward: 22.0
Episode 554, Reward: 18.0
Episode 555, Reward: 13.0
Episode 556, Reward: 18.0
Episode 557, Reward: 29.0
Episode 558, Reward: 34.0
Episode 559, Reward: 22.0
Episode 560, Reward: 16.0
Episode 561, Reward: 20.0
Episode 562, Reward: 37.0
Episode 563, Reward: 11.0
Episode 564, Reward: 23.0
Episode 565, Reward: 12.0
Episode 566, Reward: 20.0
Episode 567, Reward: 31.0
Episode 568, Reward: 27.0
Episode 569, Reward: 16.0
Episode 570, Reward: 11.0
Episode 571, Reward: 42.0
Episode 572, Reward: 41.0
Episode 573, Reward: 25.0
Episode 574, Reward: 35.0
Episode 575, Reward: 26.0
Episode 576, Reward: 21.0
Episode 577, Reward: 13.0
Episode 578, Reward: 11.0
Episode 579, Reward: 43.0
Episode 580, Reward: 20.0
Episode 581, Reward: 46.0
Episode 582, Reward: 17.0
Episode 583, Reward: 10.0
Episode 584, Reward: 27.0
Episode 585, Reward: 17.0
Episode 586, Reward: 32.0
Episode 587, Reward: 16.0
Episode 588, Reward: 21.0
Episode 589, Reward: 28.0
Episode 590, Reward: 11.0
Episode 591, Reward: 73.0
Episode 592, Reward: 15.0
Episode 593, Reward: 27.0
Episode 594, Reward: 18.0
Episode 595, Reward: 32.0
Episode 596, Reward: 11.0
Episode 597, Reward: 54.0
Episode 598, Reward: 26.0
Episode 599, Reward: 32.0
Episode 600, Reward: 36.0
Episode 601, Reward: 40.0
Episode 602, Reward: 24.0
Episode 603, Reward: 19.0
Episode 604, Reward: 54.0
Episode 605, Reward: 31.0
Episode 606, Reward: 16.0
Episode 607, Reward: 19.0
Episode 608, Reward: 35.0
Episode 609, Reward: 16.0
Episode 610, Reward: 18.0
Episode 611, Reward: 31.0
Episode 612, Reward: 61.0
Episode 613, Reward: 12.0
Episode 614, Reward: 10.0
Episode 615, Reward: 25.0
Episode 616, Reward: 56.0
Episode 617, Reward: 19.0
Episode 618, Reward: 14.0
Episode 619, Reward: 19.0
Episode 620, Reward: 23.0
Episode 621, Reward: 53.0
Episode 622, Reward: 51.0
Episode 623, Reward: 35.0
Episode 624, Reward: 12.0
Episode 625, Reward: 13.0
Episode 626, Reward: 11.0
Episode 627, Reward: 18.0
Episode 628, Reward: 14.0
Episode 629, Reward: 18.0
Episode 630, Reward: 9.0
Episode 631, Reward: 17.0
Episode 632, Reward: 9.0
Episode 633, Reward: 40.0
Episode 634, Reward: 26.0
Episode 635, Reward: 13.0
Episode 636, Reward: 40.0
Episode 637, Reward: 16.0
Episode 638, Reward: 16.0
Episode 639, Reward: 10.0
Episode 640, Reward: 21.0
Episode 641, Reward: 51.0
Episode 642, Reward: 50.0
Episode 643, Reward: 11.0
Episode 644, Reward: 20.0
Episode 645, Reward: 9.0
Episode 646, Reward: 20.0
Episode 647, Reward: 29.0
Episode 648, Reward: 16.0
Episode 649, Reward: 36.0
Episode 650, Reward: 33.0
Episode 651, Reward: 33.0
Episode 652, Reward: 13.0
Episode 653, Reward: 26.0
Episode 654, Reward: 50.0
Episode 655, Reward: 109.0
Episode 656, Reward: 47.0
Episode 657, Reward: 21.0
Episode 658, Reward: 45.0
Episode 659, Reward: 17.0
Episode 660, Reward: 31.0
Episode 661, Reward: 30.0
Episode 662, Reward: 23.0
Episode 663, Reward: 12.0
Episode 664, Reward: 28.0
Episode 665, Reward: 14.0
Episode 666, Reward: 51.0
Episode 667, Reward: 47.0
Episode 668, Reward: 18.0
Episode 669, Reward: 12.0
Episode 670, Reward: 11.0
Episode 671, Reward: 18.0
Episode 672, Reward: 15.0
Episode 673, Reward: 52.0
Episode 674, Reward: 17.0
Episode 675, Reward: 14.0
Episode 676, Reward: 22.0
Episode 677, Reward: 23.0
Episode 678, Reward: 16.0
Episode 679, Reward: 70.0
Episode 680, Reward: 16.0
Episode 681, Reward: 25.0
Episode 682, Reward: 17.0
Episode 683, Reward: 26.0
Episode 684, Reward: 26.0
Episode 685, Reward: 14.0
Episode 686, Reward: 29.0
Episode 687, Reward: 70.0
Episode 688, Reward: 35.0
Episode 689, Reward: 20.0
Episode 690, Reward: 33.0
Episode 691, Reward: 12.0
Episode 692, Reward: 14.0
Episode 693, Reward: 14.0
Episode 694, Reward: 34.0
Episode 695, Reward: 30.0
Episode 696, Reward: 47.0
Episode 697, Reward: 32.0
Episode 698, Reward: 32.0
Episode 699, Reward: 47.0
Episode 700, Reward: 15.0
Episode 701, Reward: 39.0
Episode 702, Reward: 46.0
Episode 703, Reward: 9.0
Episode 704, Reward: 20.0
Episode 705, Reward: 19.0
Episode 706, Reward: 44.0
Episode 707, Reward: 74.0
Episode 708, Reward: 49.0
Episode 709, Reward: 34.0
Episode 710, Reward: 61.0
Episode 711, Reward: 13.0
Episode 712, Reward: 40.0
Episode 713, Reward: 22.0
Episode 714, Reward: 9.0
Episode 715, Reward: 13.0
Episode 716, Reward: 18.0
Episode 717, Reward: 66.0
Episode 718, Reward: 10.0
Episode 719, Reward: 28.0
Episode 720, Reward: 12.0
Episode 721, Reward: 30.0
Episode 722, Reward: 27.0
Episode 723, Reward: 18.0
Episode 724, Reward: 13.0
Episode 725, Reward: 16.0
Episode 726, Reward: 18.0
Episode 727, Reward: 44.0
Episode 728, Reward: 15.0
Episode 729, Reward: 24.0
Episode 730, Reward: 15.0
Episode 731, Reward: 15.0
Episode 732, Reward: 48.0
Episode 733, Reward: 17.0
Episode 734, Reward: 10.0
Episode 735, Reward: 48.0
Episode 736, Reward: 24.0
Episode 737, Reward: 62.0
Episode 738, Reward: 25.0
Episode 739, Reward: 12.0
Episode 740, Reward: 22.0
Episode 741, Reward: 11.0
Episode 742, Reward: 27.0
Episode 743, Reward: 23.0
Episode 744, Reward: 28.0
Episode 745, Reward: 17.0
Episode 746, Reward: 36.0
Episode 747, Reward: 37.0
Episode 748, Reward: 29.0
Episode 749, Reward: 12.0
Episode 750, Reward: 16.0
Episode 751, Reward: 12.0
Episode 752, Reward: 25.0
Episode 753, Reward: 36.0
Episode 754, Reward: 13.0
Episode 755, Reward: 11.0
Episode 756, Reward: 47.0
Episode 757, Reward: 33.0
Episode 758, Reward: 10.0
Episode 759, Reward: 19.0
Episode 760, Reward: 16.0
Episode 761, Reward: 11.0
Episode 762, Reward: 20.0
Episode 763, Reward: 23.0
Episode 764, Reward: 25.0
Episode 765, Reward: 27.0
Episode 766, Reward: 12.0
Episode 767, Reward: 52.0
Episode 768, Reward: 58.0
Episode 769, Reward: 15.0
Episode 770, Reward: 60.0
Episode 771, Reward: 65.0
Episode 772, Reward: 11.0
Episode 773, Reward: 17.0
Episode 774, Reward: 22.0
Episode 775, Reward: 14.0
Episode 776, Reward: 16.0
Episode 777, Reward: 10.0
Episode 778, Reward: 9.0
Episode 779, Reward: 12.0
Episode 780, Reward: 52.0
Episode 781, Reward: 32.0
Episode 782, Reward: 66.0
Episode 783, Reward: 24.0
Episode 784, Reward: 47.0
Episode 785, Reward: 14.0
Episode 786, Reward: 26.0
Episode 787, Reward: 16.0
Episode 788, Reward: 24.0
Episode 789, Reward: 14.0
Episode 790, Reward: 16.0
Episode 791, Reward: 83.0
Episode 792, Reward: 24.0
Episode 793, Reward: 18.0
Episode 794, Reward: 37.0
Episode 795, Reward: 25.0
Episode 796, Reward: 43.0
Episode 797, Reward: 53.0
Episode 798, Reward: 17.0
Episode 799, Reward: 64.0
Episode 800, Reward: 28.0
Episode 801, Reward: 18.0
Episode 802, Reward: 13.0
Episode 803, Reward: 17.0
Episode 804, Reward: 41.0
Episode 805, Reward: 27.0
Episode 806, Reward: 30.0
Episode 807, Reward: 22.0
Episode 808, Reward: 16.0
Episode 809, Reward: 57.0
Episode 810, Reward: 91.0
Episode 811, Reward: 14.0
Episode 812, Reward: 13.0
Episode 813, Reward: 28.0
Episode 814, Reward: 18.0
Episode 815, Reward: 25.0
Episode 816, Reward: 44.0
Episode 817, Reward: 30.0
Episode 818, Reward: 19.0
Episode 819, Reward: 15.0
Episode 820, Reward: 56.0
Episode 821, Reward: 32.0
Episode 822, Reward: 18.0
Episode 823, Reward: 38.0
Episode 824, Reward: 17.0
Episode 825, Reward: 14.0
Episode 826, Reward: 48.0
Episode 827, Reward: 16.0
Episode 828, Reward: 22.0
Episode 829, Reward: 13.0
Episode 830, Reward: 17.0
Episode 831, Reward: 25.0
Episode 832, Reward: 27.0
Episode 833, Reward: 19.0
Episode 834, Reward: 42.0
Episode 835, Reward: 50.0
Episode 836, Reward: 21.0
Episode 837, Reward: 21.0
Episode 838, Reward: 23.0
Episode 839, Reward: 26.0
Episode 840, Reward: 21.0
Episode 841, Reward: 13.0
Episode 842, Reward: 46.0
Episode 843, Reward: 35.0
Episode 844, Reward: 37.0
Episode 845, Reward: 33.0
Episode 846, Reward: 14.0
Episode 847, Reward: 12.0
Episode 848, Reward: 102.0
Episode 849, Reward: 23.0
Episode 850, Reward: 11.0
Episode 851, Reward: 13.0
Episode 852, Reward: 18.0
Episode 853, Reward: 13.0
Episode 854, Reward: 134.0
Episode 855, Reward: 53.0
Episode 856, Reward: 25.0
Episode 857, Reward: 19.0
Episode 858, Reward: 16.0
Episode 859, Reward: 20.0
Episode 860, Reward: 60.0
Episode 861, Reward: 24.0
Episode 862, Reward: 39.0
Episode 863, Reward: 30.0
Episode 864, Reward: 37.0
Episode 865, Reward: 25.0
Episode 866, Reward: 16.0
Episode 867, Reward: 36.0
Episode 868, Reward: 17.0
Episode 869, Reward: 28.0
Episode 870, Reward: 19.0
Episode 871, Reward: 42.0
Episode 872, Reward: 20.0
Episode 873, Reward: 15.0
Episode 874, Reward: 16.0
Episode 875, Reward: 19.0
Episode 876, Reward: 37.0
Episode 877, Reward: 88.0
Episode 878, Reward: 44.0
Episode 879, Reward: 30.0
Episode 880, Reward: 58.0
Episode 881, Reward: 66.0
Episode 882, Reward: 38.0
Episode 883, Reward: 51.0
Episode 884, Reward: 14.0
Episode 885, Reward: 14.0
Episode 886, Reward: 15.0
Episode 887, Reward: 15.0
Episode 888, Reward: 27.0
Episode 889, Reward: 51.0
Episode 890, Reward: 16.0
Episode 891, Reward: 17.0
Episode 892, Reward: 25.0
Episode 893, Reward: 32.0
Episode 894, Reward: 23.0
Episode 895, Reward: 15.0
Episode 896, Reward: 20.0
Episode 897, Reward: 11.0
Episode 898, Reward: 12.0
Episode 899, Reward: 43.0
Episode 900, Reward: 54.0
Episode 901, Reward: 24.0
Episode 902, Reward: 25.0
Episode 903, Reward: 11.0
Episode 904, Reward: 44.0
Episode 905, Reward: 41.0
Episode 906, Reward: 129.0
Episode 907, Reward: 19.0
Episode 908, Reward: 22.0
Episode 909, Reward: 25.0
Episode 910, Reward: 18.0
Episode 911, Reward: 17.0
Episode 912, Reward: 15.0
Episode 913, Reward: 35.0
Episode 914, Reward: 30.0
Episode 915, Reward: 14.0
Episode 916, Reward: 21.0
Episode 917, Reward: 14.0
Episode 918, Reward: 43.0
Episode 919, Reward: 12.0
Episode 920, Reward: 44.0
Episode 921, Reward: 23.0
Episode 922, Reward: 16.0
Episode 923, Reward: 23.0
Episode 924, Reward: 39.0
Episode 925, Reward: 28.0
Episode 926, Reward: 13.0
Episode 927, Reward: 49.0
Episode 928, Reward: 9.0
Episode 929, Reward: 44.0
Episode 930, Reward: 24.0
Episode 931, Reward: 19.0
